episode,step,temp_celsius,power_watts,coolant_flow_l_min,pue,hour_of_day,thermal_spike
2,180,27.84,280.57,49.23,1.5654,0.03,0
2,190,32.29,363.41,88.39,1.6217,0.03,0
2,200,30.05,580.54,61.12,1.5927,0.03,0
2,210,26.0,707.66,47.38,1.609,0.03,0
2,220,28.92,202.13,101.69,1.6133,0.03,0
2,230,29.35,644.74,84.13,1.5941,0.03,0
2,240,30.13,245.15,110.65,1.6071,0.03,0
2,250,32.47,700.76,86.6,1.5916,0.03,0
2,260,31.04,384.96,111.92,1.6143,0.04,0
2,270,31.56,739.35,56.81,1.5678,0.04,0
2,280,30.45,668.07,110.73,1.6152,0.04,0
2,290,28.14,292.73,114.39,1.6214,0.04,0
2,300,34.08,686.46,110.51,1.5648,0.04,0
2,310,33.72,399.31,114.47,1.611,0.04,0
2,320,31.8,686.45,61.34,1.5681,0.04,0
2,330,30.75,723.3,108.69,1.5966,0.05,0
2,340,31.18,476.18,64.42,1.6422,0.05,0
2,350,30.96,214.2,55.45,1.5921,0.05,0
2,360,28.68,780.13,62.33,1.6411,0.05,0
2,370,29.31,788.69,82.9,1.5902,0.05,0
2,380,31.52,782.24,54.29,1.6022,0.05,0
2,390,32.15,265.04,74.77,1.6022,0.05,0
2,400,30.4,563.73,80.91,1.5887,0.06,0
2,410,28.68,352.83,96.7,1.6232,0.06,0
2,420,35.23,523.07,97.55,1.6064,0.06,0
2,430,30.53,418.53,45.6,1.5761,0.06,0
2,440,29.78,388.35,107.84,1.5905,0.06,0
2,450,30.39,385.57,72.67,1.5893,0.06,0
2,460,29.36,276.37,73.64,1.6155,0.06,0
2,470,33.54,741.68,89.24,1.5949,0.07,0
2,480,29.97,200.24,62.95,1.6298,0.07,0
2,490,28.39,592.82,77.2,1.6171,0.07,0
3,0,28.7,483.91,112.09,1.6088,0.0,0
3,10,30.37,250.88,81.24,1.5922,0.0,0
3,20,28.84,691.05,100.09,1.5904,0.0,0
3,30,29.41,319.48,41.95,1.5912,0.0,0
3,40,30.17,709.84,45.83,1.6265,0.01,0
3,50,27.7,316.66,95.71,1.6183,0.01,0
3,60,28.65,593.63,40.44,1.6044,0.01,0
3,70,30.19,263.95,74.01,1.5696,0.01,0
3,80,32.45,510.77,44.02,1.6488,0.01,0
3,90,30.23,473.88,104.11,1.6427,0.01,0
3,100,27.3,557.27,116.0,1.5522,0.01,0
3,110,32.4,631.56,80.38,1.5865,0.02,0
3,120,31.51,738.32,99.49,1.5818,0.02,0
3,130,28.78,348.34,91.01,1.6063,0.02,0
3,140,30.58,576.05,61.97,1.5797,0.02,0
3,150,31.81,363.03,65.58,1.6115,0.02,0
3,160,29.33,338.76,95.52,1.6011,0.02,0
3,170,30.21,444.56,83.41,1.5968,0.02,0
3,180,29.25,452.09,112.39,1.6107,0.03,0
3,190,27.79,714.04,101.25,1.5883,0.03,0
3,200,30.32,411.06,100.28,1.6053,0.03,0
3,210,33.5,451.41,99.8,1.5644,0.03,0
3,220,27.92,332.32,57.55,1.5961,0.03,0
3,230,30.1,401.68,94.33,1.6058,0.03,0
3,240,29.58,480.43,50.21,1.6106,0.03,0
3,250,30.26,436.41,85.15,1.6006,0.03,0
3,260,33.45,281.42,76.94,1.6087,0.04,0
3,270,32.5,327.0,66.15,1.6099,0.04,0
3,280,30.8,651.21,106.55,1.5844,0.04,0
3,290,30.68,211.63,83.15,1.6121,0.04,0
3,300,32.57,590.09,102.5,1.6038,0.04,0
3,310,28.8,769.77,55.95,1.5765,0.04,0
3,320,31.9,275.73,93.56,1.6053,0.04,0
3,330,29.49,619.68,101.35,1.5984,0.05,0
3,340,32.16,648.76,49.16,1.6276,0.05,0
3,350,33.01,264.86,42.05,1.557,0.05,0
3,360,29.71,774.9,71.73,1.6317,0.05,0
3,370,30.7,614.37,90.18,1.5961,0.05,0
3,380,33.66,710.18,88.03,1.6244,0.05,0
3,390,35.09,669.58,67.78,1.6435,0.05,0
3,400,29.22,503.58,67.3,1.6122,0.06,0
3,410,33.15,263.32,116.86,1.5737,0.06,0
3,420,28.52,624.39,74.84,1.5756,0.06,0
3,430,30.49,362.05,104.66,1.5522,0.06,0
3,440,28.81,461.34,98.48,1.5984,0.06,0
3,450,30.61,698.44,46.93,1.6427,0.06,0
3,460,32.19,478.83,88.83,1.5937,0.06,0
3,470,30.76,710.57,54.55,1.6072,0.07,0
3,480,31.98,404.2,110.43,1.6386,0.07,0
3,490,30.67,206.09,115.85,1.5885,0.07,0
4,0,32.74,493.15,100.65,1.6182,0.0,0
4,10,28.98,494.49,103.43,1.575,0.0,0
4,20,31.24,615.07,64.5,1.6096,0.0,0
4,30,28.12,518.55,74.04,1.5907,0.0,0
4,40,30.08,621.71,61.67,1.5839,0.01,0
4,50,30.15,315.55,49.56,1.6119,0.01,0
4,60,26.89,311.09,57.31,1.5942,0.01,0
4,70,27.03,785.96,81.97,1.605,0.01,0
4,80,30.07,316.47,58.2,1.6108,0.01,0
4,90,30.43,520.48,61.94,1.6048,0.01,0
4,100,32.82,618.45,50.1,1.5977,0.01,0
4,110,31.92,723.63,85.93,1.5847,0.02,0
4,120,28.27,310.62,44.11,1.6059,0.02,0
4,130,32.54,693.27,72.06,1.5936,0.02,0
4,140,32.96,232.17,51.94,1.6144,0.02,0
4,150,28.91,796.35,49.48,1.5953,0.02,0
4,160,30.76,674.44,58.05,1.5746,0.02,0
4,170,28.37,465.63,108.81,1.5987,0.02,0
4,180,32.28,572.62,88.77,1.6007,0.03,0
4,190,30.3,324.67,56.88,1.5533,0.03,0
4,200,30.01,304.29,46.01,1.5919,0.03,0
4,210,32.85,556.29,63.3,1.6022,0.03,0
4,220,31.06,621.79,76.32,1.6329,0.03,0
4,230,28.99,672.7,90.0,1.5599,0.03,0
4,240,28.29,455.08,83.56,1.5623,0.03,0
4,250,28.17,695.98,45.71,1.5668,0.03,0
4,260,31.69,649.37,85.54,1.6166,0.04,0
4,270,30.61,613.21,95.98,1.6118,0.04,0
4,280,33.09,496.28,46.44,1.5935,0.04,0
4,290,32.98,393.39,60.03,1.6071,0.04,0
4,300,35.24,701.58,86.02,1.6296,0.04,0
4,310,38.48,603.37,61.56,1.5778,0.04,0
4,320,34.26,482.3,92.12,1.6102,0.04,0
4,330,32.14,551.2,90.78,1.5954,0.05,0
4,340,30.2,408.78,66.66,1.6023,0.05,0
4,350,29.2,397.88,95.49,1.5672,0.05,0
4,360,29.99,688.14,84.01,1.6486,0.05,0
4,370,29.5,393.96,117.61,1.6067,0.05,0
4,380,29.22,792.87,92.61,1.6154,0.05,0
4,390,29.24,312.55,68.94,1.5963,0.05,0
4,400,31.37,655.99,56.28,1.5738,0.06,0
4,410,26.92,462.87,95.86,1.5878,0.06,0
4,420,35.21,565.32,59.14,1.639,0.06,0
4,430,32.73,531.35,47.46,1.623,0.06,0
4,440,35.8,476.87,49.4,1.5997,0.06,0
4,450,32.57,629.96,80.71,1.5814,0.06,0
4,460,30.89,788.15,59.5,1.6393,0.06,0
4,470,29.61,753.12,80.66,1.5956,0.07,0
4,480,34.41,365.75,103.2,1.5743,0.07,0
4,490,27.52,504.64,105.64,1.6256,0.07,0
5,0,29.65,552.16,119.91,1.6162,0.0,0
5,10,28.91,523.15,67.61,1.6005,0.0,0
5,20,27.71,473.21,65.74,1.5917,0.0,0
5,30,31.28,543.08,58.68,1.6284,0.0,0
5,40,30.26,646.82,96.42,1.5939,0.01,0
5,50,30.94,598.21,105.66,1.5814,0.01,0
5,60,32.56,222.21,80.18,1.5969,0.01,0
5,70,26.87,724.51,75.22,1.5781,0.01,0
5,80,28.14,633.47,72.8,1.5962,0.01,0
5,90,29.71,481.69,117.54,1.5902,0.01,0
5,100,28.78,589.9,108.14,1.6258,0.01,0
5,110,32.81,428.01,65.33,1.568,0.02,0
5,120,29.82,723.43,42.87,1.5666,0.02,0
5,130,33.08,752.56,119.79,1.6115,0.02,0
5,140,30.51,259.07,90.7,1.5784,0.02,0
5,150,32.1,616.4,112.27,1.5842,0.02,0
5,160,34.05,376.02,69.99,1.6099,0.02,0
5,170,32.18,539.56,103.4,1.6193,0.02,0
5,180,31.1,722.5,89.58,1.6069,0.03,0
5,190,31.01,285.87,76.89,1.6439,0.03,0
5,200,30.75,205.64,104.37,1.6151,0.03,0
5,210,33.28,294.79,75.34,1.5822,0.03,0
5,220,29.37,583.36,73.94,1.6217,0.03,0
5,230,30.91,319.53,70.78,1.6384,0.03,0
5,240,29.48,543.15,85.98,1.6013,0.03,0
5,250,32.66,786.77,92.66,1.599,0.03,0
5,260,30.63,611.48,99.57,1.6253,0.04,0
5,270,33.67,498.04,112.33,1.608,0.04,0
5,280,30.3,564.24,68.19,1.6346,0.04,0
5,290,29.32,606.66,97.67,1.5787,0.04,0
5,300,29.12,576.95,112.27,1.5676,0.04,0
5,310,30.18,464.49,86.37,1.5861,0.04,0
5,320,31.16,377.07,99.8,1.5911,0.04,0
5,330,31.78,523.64,117.72,1.6093,0.05,0
5,340,27.0,698.28,60.56,1.5912,0.05,0
5,350,32.41,683.89,99.72,1.5793,0.05,0
5,360,30.89,777.74,51.26,1.6081,0.05,0
5,370,35.33,634.53,118.4,1.5915,0.05,0
5,380,35.03,419.47,103.25,1.5924,0.05,0
5,390,34.0,472.87,93.83,1.6019,0.05,0
5,400,30.33,693.45,115.22,1.5763,0.06,0
5,410,32.74,215.01,110.74,1.6089,0.06,0
5,420,27.53,332.82,45.06,1.583,0.06,0
5,430,33.65,381.31,72.66,1.5606,0.06,0
5,440,34.81,382.62,79.41,1.637,0.06,0
5,450,35.18,281.4,76.29,1.6237,0.06,0
5,460,30.22,767.58,73.53,1.5708,0.06,0
5,470,31.78,448.93,47.92,1.5882,0.07,0
5,480,29.83,770.91,42.62,1.6011,0.07,0
5,490,30.43,770.33,108.44,1.6155,0.07,0
6,0,32.47,526.68,118.23,1.6155,0.0,0
6,10,28.78,313.89,49.77,1.6133,0.0,0
6,20,31.37,597.66,91.34,1.5797,0.0,0
6,30,29.8,672.08,59.49,1.5953,0.0,0
6,40,32.0,241.17,101.21,1.616,0.01,0
6,50,30.61,721.82,66.28,1.6111,0.01,0
6,60,32.87,201.7,108.67,1.6321,0.01,0
6,70,30.98,350.39,53.96,1.606,0.01,0
6,80,30.14,208.92,103.2,1.5938,0.01,0
6,90,30.56,304.55,44.19,1.6153,0.01,0
6,100,30.35,647.4,78.1,1.5733,0.01,0
6,110,30.94,265.43,80.31,1.5741,0.02,0
6,120,31.13,669.94,109.36,1.5957,0.02,0
6,130,28.43,778.42,44.87,1.5947,0.02,0
6,140,28.66,611.66,79.22,1.6004,0.02,0
6,150,31.37,248.47,88.66,1.5935,0.02,0
6,160,32.23,579.85,83.87,1.6041,0.02,0
6,170,27.87,518.33,76.3,1.6553,0.02,0
6,180,30.13,621.07,108.22,1.5921,0.03,0
6,190,28.91,632.5,57.2,1.5699,0.03,0
6,200,29.57,403.36,76.28,1.602,0.03,0
6,210,30.22,456.06,93.21,1.6022,0.03,0
6,220,30.23,753.79,45.37,1.6059,0.03,0
6,230,31.52,257.94,99.1,1.59,0.03,0
6,240,32.1,551.88,84.93,1.5741,0.03,0
6,250,30.69,412.16,93.23,1.6067,0.03,0
6,260,31.24,632.64,117.47,1.5574,0.04,0
6,270,29.77,546.75,57.02,1.5867,0.04,0
6,280,30.53,264.93,107.63,1.5858,0.04,0
6,290,29.08,544.46,104.58,1.6228,0.04,0
6,300,34.46,691.06,89.09,1.5529,0.04,0
6,310,31.17,757.45,106.36,1.5941,0.04,0
6,320,31.37,621.62,64.72,1.6102,0.04,0
6,330,31.43,721.92,85.31,1.5996,0.05,0
6,340,30.7,579.9,42.45,1.6042,0.05,0
6,350,31.61,451.9,67.27,1.5838,0.05,0
6,360,29.5,666.1,85.41,1.621,0.05,0
6,370,32.3,294.45,89.43,1.601,0.05,0
6,380,31.05,597.16,78.85,1.5835,0.05,0
6,390,30.34,652.97,49.11,1.6034,0.05,0
6,400,30.4,607.09,78.93,1.6047,0.06,0
6,410,31.62,437.16,87.95,1.5924,0.06,0
6,420,33.66,326.74,50.98,1.5985,0.06,0
6,430,31.95,204.64,99.76,1.6155,0.06,0
6,440,32.94,622.2,80.02,1.6152,0.06,0
6,450,33.91,243.25,108.94,1.5663,0.06,0
6,460,32.52,752.7,108.97,1.5987,0.06,0
6,470,29.87,625.7,73.42,1.5857,0.07,0
6,480,32.55,394.86,104.11,1.6004,0.07,0
6,490,29.5,751.86,47.05,1.5722,0.07,0
7,0,30.84,553.32,81.92,1.5833,0.0,0
7,10,28.69,403.71,66.65,1.6061,0.0,0
7,20,31.29,268.42,80.8,1.6165,0.0,0
7,30,31.71,636.43,105.52,1.5853,0.0,0
7,40,30.81,287.87,55.78,1.5822,0.01,0
7,50,27.57,593.31,54.17,1.5754,0.01,0
7,60,30.67,652.67,100.79,1.5725,0.01,0
7,70,26.08,538.7,90.82,1.61,0.01,0
7,80,27.61,576.33,52.08,1.5675,0.01,0
7,90,32.47,381.69,61.97,1.6046,0.01,0
7,100,32.79,386.24,76.15,1.6039,0.01,0
7,110,34.15,246.04,109.14,1.6089,0.02,0
7,120,32.36,504.24,77.02,1.5738,0.02,0
7,130,27.38,737.53,75.98,1.5838,0.02,0
7,140,31.84,392.92,78.05,1.5686,0.02,0
7,150,31.25,262.1,111.93,1.6015,0.02,0
7,160,29.13,502.73,53.8,1.622,0.02,0
7,170,30.97,463.65,81.82,1.6171,0.02,0
7,180,32.04,369.74,72.7,1.6119,0.03,0
7,190,29.63,673.54,91.78,1.6186,0.03,0
7,200,31.92,607.03,62.73,1.5992,0.03,0
7,210,30.68,743.81,109.86,1.5668,0.03,0
7,220,29.89,284.86,67.99,1.6185,0.03,0
7,230,34.3,435.17,87.6,1.5894,0.03,0
7,240,32.91,426.01,103.33,1.5891,0.03,0
7,250,32.53,697.38,99.1,1.5682,0.03,0
7,260,30.46,587.61,73.87,1.5732,0.04,0
7,270,30.26,308.16,57.14,1.6101,0.04,0
7,280,33.72,335.93,51.01,1.5882,0.04,0
7,290,35.0,260.68,101.67,1.6136,0.04,0
7,300,33.76,222.65,66.94,1.56,0.04,0
7,310,31.81,426.03,52.98,1.5851,0.04,0
7,320,33.43,685.43,53.24,1.5657,0.04,0
7,330,29.9,605.82,59.0,1.6035,0.05,0
7,340,30.32,649.12,75.91,1.6013,0.05,0
7,350,30.23,685.17,77.52,1.592,0.05,0
7,360,32.94,768.28,118.76,1.5792,0.05,0
7,370,30.44,429.12,82.2,1.5995,0.05,0
7,380,35.68,680.76,51.07,1.5879,0.05,0
7,390,32.13,724.47,84.36,1.6243,0.05,0
7,400,35.27,710.7,62.81,1.6189,0.06,0
7,410,32.36,743.18,51.79,1.5797,0.06,0
7,420,27.81,333.22,76.09,1.6142,0.06,0
7,430,32.06,231.95,80.16,1.5994,0.06,0
7,440,32.97,424.95,42.26,1.6599,0.06,0
7,450,35.91,589.98,103.31,1.5795,0.06,0
7,460,33.56,697.86,95.69,1.6082,0.06,0
7,470,34.56,469.16,40.42,1.6196,0.07,0
7,480,33.95,700.98,83.9,1.603,0.07,0
7,490,32.3,266.71,63.05,1.5714,0.07,0
8,0,29.8,451.9,103.51,1.5995,0.0,0
8,10,29.13,743.09,87.74,1.5962,0.0,0
8,20,32.52,345.16,51.49,1.5961,0.0,0
8,30,27.7,344.34,73.33,1.6055,0.0,0
8,40,29.82,784.79,45.41,1.5863,0.01,0
8,50,27.97,793.0,84.33,1.5897,0.01,0
8,60,28.64,581.4,118.48,1.6079,0.01,0
8,70,30.44,673.11,67.58,1.5972,0.01,0
8,80,30.21,662.9,98.81,1.5656,0.01,0
8,90,30.27,527.61,105.08,1.5988,0.01,0
8,100,32.21,478.77,95.63,1.6246,0.01,0
8,110,28.23,237.86,102.1,1.5667,0.02,0
8,120,29.15,226.28,55.96,1.598,0.02,0
8,130,35.32,509.23,119.13,1.6057,0.02,0
8,140,29.41,651.97,55.29,1.5895,0.02,0
8,150,28.78,719.48,66.55,1.6209,0.02,0
8,160,32.37,733.69,99.46,1.6071,0.02,0
8,170,32.63,784.23,79.7,1.5814,0.02,0
8,180,26.59,511.57,104.09,1.5943,0.03,0
8,190,31.08,561.47,105.79,1.5856,0.03,0
8,200,29.57,248.04,92.87,1.5886,0.03,0
8,210,30.38,455.67,95.18,1.6191,0.03,0
8,220,31.03,722.02,68.2,1.5983,0.03,0
8,230,33.05,788.02,115.83,1.5934,0.03,0
8,240,34.05,417.99,104.09,1.6065,0.03,0
8,250,29.45,285.67,88.61,1.549,0.03,0
8,260,31.73,240.34,102.28,1.5884,0.04,0
8,270,30.38,540.35,88.41,1.6082,0.04,0
8,280,29.65,423.21,101.05,1.5496,0.04,0
8,290,29.62,438.82,91.96,1.5826,0.04,0
8,300,31.88,641.4,79.92,1.6034,0.04,0
8,310,29.99,357.07,60.82,1.6103,0.04,0
8,320,25.67,371.35,113.32,1.6158,0.04,0
8,330,31.04,711.7,76.16,1.5942,0.05,0
8,340,33.86,252.67,94.55,1.5807,0.05,0
8,350,33.17,408.46,45.2,1.5791,0.05,0
8,360,28.17,710.82,96.94,1.5826,0.05,0
8,370,34.86,676.22,80.7,1.581,0.05,0
8,380,33.33,283.33,103.23,1.6029,0.05,0
8,390,34.93,421.35,104.29,1.5978,0.05,0
8,400,29.87,251.73,64.74,1.5848,0.06,0
8,410,35.73,515.42,101.53,1.5935,0.06,0
8,420,32.95,783.43,91.39,1.5866,0.06,0
8,430,29.79,406.71,110.24,1.6029,0.06,0
8,440,33.26,309.18,117.3,1.5655,0.06,0
8,450,28.77,233.25,49.93,1.6117,0.06,0
8,460,33.52,393.6,96.75,1.6034,0.06,0
8,470,30.2,736.96,107.67,1.6328,0.07,0
8,480,32.95,530.5,50.01,1.622,0.07,0
8,490,32.21,501.54,53.49,1.6169,0.07,0
9,0,31.08,595.24,97.65,1.5874,0.0,0
9,10,27.04,538.17,106.02,1.568,0.0,0
9,20,30.74,584.87,86.14,1.5926,0.0,0
9,30,28.23,449.95,91.12,1.5638,0.0,0
9,40,27.48,373.8,116.53,1.5919,0.01,0
9,50,26.76,610.99,63.79,1.5954,0.01,0
9,60,31.06,463.76,78.74,1.5947,0.01,0
9,70,31.28,387.55,97.47,1.6177,0.01,0
9,80,30.18,785.22,50.46,1.552,0.01,0
9,90,28.88,391.47,77.32,1.6102,0.01,0
9,100,30.55,258.09,63.22,1.6066,0.01,0
9,110,28.72,348.96,109.22,1.6099,0.02,0
9,120,31.81,546.61,65.02,1.6066,0.02,0
9,130,31.12,508.83,79.9,1.5681,0.02,0
9,140,30.84,767.14,80.44,1.5956,0.02,0
9,150,32.43,411.74,44.04,1.5887,0.02,0
9,160,27.0,592.56,77.65,1.5929,0.02,0
9,170,27.43,458.56,110.6,1.5827,0.02,0
9,180,30.8,419.56,72.05,1.5579,0.03,0
9,190,30.16,531.93,45.88,1.5859,0.03,0
9,200,28.01,367.83,119.13,1.5906,0.03,0
9,210,31.06,785.05,71.51,1.5824,0.03,0
9,220,32.06,763.37,100.4,1.5741,0.03,0
9,230,32.37,500.05,43.62,1.6142,0.03,0
9,240,32.86,484.25,76.56,1.6052,0.03,0
9,250,29.87,396.78,89.05,1.5766,0.03,0
9,260,35.02,643.59,63.94,1.6437,0.04,0
9,270,29.96,519.4,96.7,1.6237,0.04,0
9,280,30.83,421.01,93.9,1.6265,0.04,0
9,290,34.66,678.05,98.03,1.5882,0.04,0
9,300,31.93,484.75,117.37,1.5872,0.04,0
9,310,32.88,546.58,97.71,1.5577,0.04,0
9,320,31.18,577.42,89.58,1.5854,0.04,0
9,330,32.92,608.44,42.53,1.582,0.05,0
9,340,33.29,211.36,65.1,1.5885,0.05,0
9,350,34.22,446.23,102.0,1.6165,0.05,0
9,360,36.08,641.5,44.98,1.5721,0.05,0
9,370,33.46,395.03,92.98,1.6019,0.05,0
9,380,30.93,303.91,112.97,1.5888,0.05,0
9,390,31.69,663.19,97.67,1.6072,0.05,0
9,400,30.87,566.05,55.38,1.5675,0.06,0
9,410,32.9,334.92,117.83,1.6171,0.06,0
9,420,32.43,324.37,96.4,1.6073,0.06,0
9,430,32.22,760.22,103.63,1.6085,0.06,0
9,440,32.9,605.97,70.38,1.6016,0.06,0
9,450,36.78,772.77,104.37,1.587,0.06,0
9,460,32.76,628.48,67.71,1.6075,0.06,0
9,470,31.8,487.45,56.17,1.597,0.07,0
9,480,28.8,617.7,50.98,1.5804,0.07,0
9,490,31.39,345.47,93.59,1.5739,0.07,0
10,0,27.2,231.49,73.06,1.584,0.0,0
10,10,29.89,662.46,40.41,1.5805,0.0,0
10,20,25.79,444.14,114.8,1.5752,0.0,0
10,30,31.88,319.67,117.11,1.5737,0.0,0
10,40,29.07,744.76,47.16,1.6155,0.01,0
10,50,28.19,633.87,114.93,1.5784,0.01,0
10,60,31.54,729.35,54.06,1.5831,0.01,0
10,70,36.55,438.2,79.63,1.5564,0.01,0
10,80,35.35,755.62,110.14,1.5697,0.01,0
10,90,33.3,264.38,118.64,1.591,0.01,0
10,100,29.5,525.98,79.51,1.6482,0.01,0
10,110,34.49,480.81,55.42,1.5748,0.02,0
10,120,31.85,475.35,60.58,1.5972,0.02,0
10,130,32.3,674.46,85.42,1.6196,0.02,0
10,140,31.16,713.69,111.76,1.5771,0.02,0
10,150,32.3,252.04,93.54,1.5682,0.02,0
10,160,31.7,394.16,59.84,1.5996,0.02,0
10,170,31.24,652.25,116.32,1.6041,0.02,0
10,180,30.39,206.86,92.29,1.6198,0.03,0
10,190,31.24,270.93,64.54,1.5828,0.03,0
10,200,29.61,737.07,96.28,1.6027,0.03,0
10,210,31.27,749.68,63.6,1.5988,0.03,0
10,220,30.66,280.14,52.25,1.5802,0.03,0
10,230,31.76,449.51,83.94,1.5622,0.03,0
10,240,29.43,598.46,57.47,1.594,0.03,0
10,250,32.0,723.88,46.55,1.623,0.03,0
10,260,29.08,246.86,85.13,1.5997,0.04,0
10,270,34.43,503.29,85.82,1.599,0.04,0
10,280,33.23,512.2,49.3,1.6039,0.04,0
10,290,32.99,254.56,80.83,1.6149,0.04,0
10,300,33.12,507.95,76.54,1.569,0.04,0
10,310,34.49,684.15,97.86,1.5974,0.04,0
10,320,29.56,647.48,86.26,1.6119,0.04,0
10,330,34.32,238.26,119.53,1.5947,0.05,0
10,340,33.32,760.27,42.54,1.5865,0.05,0
10,350,29.83,659.5,118.27,1.6081,0.05,0
10,360,31.51,795.71,70.6,1.5729,0.05,0
10,370,35.83,425.39,94.62,1.5577,0.05,0
10,380,31.62,592.12,67.82,1.5683,0.05,0
10,390,34.08,517.31,98.23,1.6119,0.05,0
10,400,33.1,213.64,63.87,1.5911,0.06,0
10,410,31.99,519.16,105.87,1.5673,0.06,0
10,420,33.25,365.39,114.99,1.6079,0.06,0
10,430,33.14,685.69,73.54,1.5798,0.06,0
10,440,33.79,209.39,56.49,1.5482,0.06,0
10,450,33.86,558.67,96.26,1.5926,0.06,0
10,460,36.65,441.36,58.75,1.5994,0.06,0
10,470,34.4,233.87,80.31,1.6286,0.07,0
10,480,32.76,638.91,65.51,1.6252,0.07,0
10,490,31.29,392.4,64.14,1.5723,0.07,0
11,0,31.83,332.63,64.04,1.6105,0.0,0
11,10,34.61,727.83,112.93,1.6057,0.0,0
11,20,28.69,497.37,117.78,1.5724,0.0,0
11,30,33.05,671.48,65.5,1.5767,0.0,0
11,40,29.37,425.88,100.35,1.5932,0.01,0
11,50,26.6,380.44,96.61,1.5939,0.01,0
11,60,32.05,537.43,117.42,1.5458,0.01,0
11,70,29.61,345.72,56.27,1.5837,0.01,0
11,80,27.97,708.28,47.4,1.5514,0.01,0
11,90,30.58,361.08,93.89,1.5746,0.01,0
11,100,27.62,312.9,100.94,1.5629,0.01,0
11,110,30.55,487.64,109.56,1.5622,0.02,0
11,120,28.54,209.2,114.97,1.631,0.02,0
11,130,32.1,799.74,78.31,1.5851,0.02,0
11,140,31.34,322.71,113.21,1.6147,0.02,0
11,150,28.02,428.4,82.69,1.5763,0.02,0
